"project_id","project_name","discipline_name"
5120741,"Funktion gp 130-abhängiger Zytokine nach Läsionen des ZNS","Klinische Neurowissenschaften I - Neurologie, Neurochirurgie, Neuropathologie"
5120832,"Der Einfluß der mit dem ENSO-Phänomen verbundenen südhemisphärischen Zirkulationsanomalien auf die Antarktis","FK Atmosphären- und Meeresforschung"
5121098,"Signaltransduktionswege des inhibitorischen Neuropeptids Somatostatin in Gliomazellen (A 7)","Anatomie"
5121734,"Herstellung und Eigenschaften keramischer Materialien mit ausgerichteten Poren definierten Durchmessers im nm-Bereich (B 5)","Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen - Spektroskopie, Kinetik"
5122690,"Geodynamische und sedimentpetrologische Rekonstruktion eines akkretionsdominierten aktiven Kontinentalrandes, östliches Zentral-Kamchatka, Russische Föderation","Geologie, Ingenieurgeologie, Paläontologie"
5123390,"Herkunfts- und Situationsanalyse von Luftschadstoffen - Gebäudebegrünungssysteme als innovative Minderungsstrategien (A 4)","FK Geographie"
5123434,"Sensitivität des quantitativen und qualitativen Grundwasserdargebots in Nordrhein-Westfalen hinsichtlich globaler Klimamodifikationen (B 2)","Physik und Chemie der Atmosphäre"
5123456,"Herkunftsanalyse, Transport und Transformation von Luftschadstoffen - Untersuchung von Verminderungsstrategien durch Simulation (B 3)","Physik und Chemie der Atmosphäre"
5123468,"Aktuelle und ehemalige Abflussentwicklung des Rheins: Schadenserfassung und Nutzungskonflikte (Überschwemmungs- und Rückstaubereich) (B 4)","Geologie, Ingenieurgeologie, Paläontologie"
5123500,"Interaktionen zwischen Umwelt, Microinvironment und Schleimhaut der Nase - Multifaktorielle Analysen und Modellierungen von chronischen Entzändungsreaktionen in den oberen Atemwegen - Kurztitel: Interaktionsanalysen von Umweltschadstoffen und Atemswegsenz","Hals-Nasen-Ohrenheilkunde"
5123782,"Extreme hydrologische Ereignisse in Mitteleuropa seit 1500 - Prozesse und Wirkungen","Physische Geographie"
5124334,"Aspekte der ganzheitlichen Optimierung großer Netze der Logistik (M 08)","FK Produktionstechnik"
5124362,"Fertigung magnetischer Schichten für elektromagnetische Mikroaktoren (B 01)","Mikrosysteme"
5125960,"Biofunktionalisierung dentaler Titan-Implantate und dessen Wirkung auf humorale, zelluläre und bakterielle Interaktionen in-vitro","Zahnheilkunde; Mund-, Kiefer- und Gesichtschirurgie"
5126044,"Mittelalter und Frühe Neuzeit als Kultur der Sichtbarkeit? Volkssprachliche Bilderzyklen in Handschrift und Druck (A 02)","Ältere deutsche Literatur"
5127298,"Steuerung von Unternehmensgründungen durch bau-, planungs-, wirtschaftsverwaltungs- und umweltrechtliche sowie planungsfachliche Rahmenbedingungen","FK Geographie"
5127954,"Provenanzanalyse jungpräkambrischer und jungpaläozoischer Siliziklastika im westlichen Südural: Der Detritus als Relikt verschwundener Krustensegmente und Anzeiger geodynamischer Prozesse","Geologie, Ingenieurgeologie, Paläontologie"
5128702,"In-situ-Charakterisierung der Bildung von silicatischen Schmelzphasen in Festkörpern mittels einer thermooptischen Meßanlage (TOM)","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5130625,"Modulation der Neurotransmission im Neocortex und Amygdalum des Menschen (C 8)","Klinische Neurowissenschaften I - Neurologie, Neurochirurgie, Neuropathologie"
5131896,"Simulation der Phasenmorphologie von Multiblockcopolymeren","Präparative und Physikalische Chemie von Polymeren"
5133378,"Marine Geologie und Geophysik im nördlichen Roten Meer (M44/3)","FK Atmosphären- und Meeresforschung"
5135850,"Niedrigdimensionale Topologie und geometrisch-topologische Methoden in Gruppentheorie","Mathematik"
5136092,"Toleranzinduktion nach Hornhauttransplantation durch TH1/TH2 - Umwandlung mittels Gentransfer in die Hornhaut und das Lymphsystem","Klinische Neurowissenschaften III - Augenheilkunde"
5137028,"Erstellung einer Bibliographie deutschsprachiger Gesangbücher","Evangelische Theologie"
5137216,"Entstehung und Ordnung anthropologischer Diskurse der Moderne (4)","Neuere deutsche Literatur"
5138162,"Septische Kardiomyopathie: In vitro-Untersuchungen zum Einfluß bakterieller Exotoxine auf funktionelle und biochemische Parameter am Modell des isolierten perfundierten Rattenherzens","Kardiologie, Angiologie"
5138168,"Septische Kardiomyopathie: In vitro-Untersuchungen zum Einfluß bakterieller Exotoxine auf funktionelle und biochemische Parameter am Modell des isolierten perfundierten Rattenherzens","Kardiologie, Angiologie"
5139516,"Stabilität und Variabilität einer 'Greenhouse'-Epoche: Zusammenhänge von Isotopenentwicklung, Paläontologie und Faziesbildung im Silur von NW-Europa","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5139582,"Geochemische Charakterisierung der Silur/Devon-Grenze: Vergleich Stratotyp (Klonk-Profil, Suchomasty, CZ), benachbarte Kernbohrung Tobolka-1 und weitere zeitgleiche Profile","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5140640,"Biogene Partikel und Makromoleküle in Kohlen und pflanzlichen Makrofossilien als Spiegel der Evolution der Landpflanzen während des jüngeren Paläozoikums","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5141314,"Wirkung der beim Stärkeabbau im Kolon entstehenden kurzkettigen Fettsäuren auf Kolonepithelzellen in verschiedenen Stadien der Adenom-Karzinom-Sequenz","FK Medizin"
5141382,"Funktionalisierte Lipide und Pigmente in Humuskohlen und begleitenden klastischen Gesteinen als Spiegel der Evolution der Landpflanzen während des jüngeren Paläozoikums","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5143390,"Stabilität und Variabilität einer 'Greenhouse'-Epoche: Zusammenhänge von Isotopenentwicklung, Paläontologie und Faziesbildung im Silur von NW-Europa","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5144018,"Systematik der Edelgase im subkontinentalen und ozeanischen Erdmantel: Implikationen für die lokale und globale Struktur und Geschichte des Erdmantels sowie die Evolution der Erdatmosphäre","Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
5144600,"Krustendynamische und exogene Faktoren bei der Gestaltung des känozoischen chilenischen Trench-Arc-Systems der Arauco - Bio Bio Region, südliches Zentral-Chile","Geologie, Ingenieurgeologie, Paläontologie"
5144690,"Paläofloren, Paläobiographie, Klimaentwicklung und Tektonik des Santa Juana Beckens bei Concepción, Trias","Geologie, Ingenieurgeologie, Paläontologie"
5148862,"Bewegung ausgedehnter elastischer Körper im Rahmen der post-Newtonischen Näherung der Einsteinschen Gravitationstheorie","Physik des Erdkörpers"
5149400,"Formation and evolution of the first generation of stars (A 07)","Astrophysik und Astronomie"
5149611,"Administration of the SFB (V)","Physik"
