"project_id","name","address"
15989980,"Struktur/Wirkevaluierung von neuen \"Multidrug-Resistance\" (MDR)-Modulatoren in vitro und in vivo","Martin-Luther-Universität Halle-Wittenberg"
15989980,"Struktur/Wirkevaluierung von neuen \"Multidrug-Resistance\" (MDR)-Modulatoren in vitro und in vivo","Freie Universität Berlin"
15989980,"Struktur/Wirkevaluierung von neuen \"Multidrug-Resistance\" (MDR)-Modulatoren in vitro und in vivo","Charité - Universitätsmedizin Berlin"
16010558,"BOne marrOw transfer to enhance ST-elevation infarct regeneration-2","Klinikum Hildesheim GmbH"
16010558,"BOne marrOw transfer to enhance ST-elevation infarct regeneration-2","Georg-August-Universität Göttingen"
16010558,"BOne marrOw transfer to enhance ST-elevation infarct regeneration-2","Medizinische Hochschule Hannover"
16010558,"BOne marrOw transfer to enhance ST-elevation infarct regeneration-2","Charité - Universitätsmedizin Berlin"
16010558,"BOne marrOw transfer to enhance ST-elevation infarct regeneration-2","Universitätsklinikum Heidelberg"
16011279,"GRK 1331:  Zell-basierte Charakterisierung krankheitsbedingter Mechanismen der Gewebs-Zerstörung und -Reparatur","Universität Konstanz"
16011279,"GRK 1331:  Zell-basierte Charakterisierung krankheitsbedingter Mechanismen der Gewebs-Zerstörung und -Reparatur","Max-Planck-Institut für Immunbiologie und Epigenetik"
16011279,"GRK 1331:  Zell-basierte Charakterisierung krankheitsbedingter Mechanismen der Gewebs-Zerstörung und -Reparatur","Universität Bayreuth"
16051575,"Bilanzierungsstudie zum Energieverbrauch und Wachstum gesunder und kranker Frühgeborener unter verschiedenen Ernährungsregimes","Universitätsklinikum Münster"
16051575,"Bilanzierungsstudie zum Energieverbrauch und Wachstum gesunder und kranker Frühgeborener unter verschiedenen Ernährungsregimes","Universitätsklinikum Heidelberg"
16092485,"The geotectonic position of the Madurai block (south India) within Gondwana: its formation and tectono-metamorphic evolution reconstructed with SHRIMP zircon analyses, EPMA-monazite dating, and petrology","Christian-Albrechts-Universität zu Kiel"
16092485,"The geotectonic position of the Madurai block (south India) within Gondwana: its formation and tectono-metamorphic evolution reconstructed with SHRIMP zircon analyses, EPMA-monazite dating, and petrology","University of Mysore"
16092485,"The geotectonic position of the Madurai block (south India) within Gondwana: its formation and tectono-metamorphic evolution reconstructed with SHRIMP zircon analyses, EPMA-monazite dating, and petrology","Rheinische Friedrich-Wilhelms-Universität Bonn"
16133448,"FOR 667:  Epitheliale Mechanismen der renalen Volumenregulation","Charité - Universitätsmedizin Berlin"
16133448,"FOR 667:  Epitheliale Mechanismen der renalen Volumenregulation","Max-Delbrück-Centrum für Molekulare Medizin (MDC) Berlin-Buch"
16153609,"Lithospheric structure and evolution of the metamorphic basement of Sri Lanka and comparisons with southern India: Gondwana amalgamation in the Neoproterozoic","Johannes Gutenberg-Universität Mainz"
16153609,"Lithospheric structure and evolution of the metamorphic basement of Sri Lanka and comparisons with southern India: Gondwana amalgamation in the Neoproterozoic","Ludwig-Maximilians-Universität München"
16153609,"Lithospheric structure and evolution of the metamorphic basement of Sri Lanka and comparisons with southern India: Gondwana amalgamation in the Neoproterozoic","Institute of Fundamental Studies (IFS)"
16216207,"Einfluss der Quervernetzung der organischen Bodensubstanz durch mehrwertige Kationen auf die Reversibilität der Bleibindung in Humusauflagen","Universität Koblenz-Landau"
16216207,"Einfluss der Quervernetzung der organischen Bodensubstanz durch mehrwertige Kationen auf die Reversibilität der Bleibindung in Humusauflagen","Albert-Ludwigs-Universität Freiburg"
16216207,"Einfluss der Quervernetzung der organischen Bodensubstanz durch mehrwertige Kationen auf die Reversibilität der Bleibindung in Humusauflagen","Technische Universität Berlin"
16216652,"Untersuchungen zur Optimierung der Neovaskularisation und der Knochenregeneration in einem orthotopen Knochendefektmodell durch Ko-Implantation mesenchymaler Stammzellen und humaner Endothelzellen","Universitätsklinikum Freiburg"
16277707,"Mikroelektronische Bauelemente für extrazelluläre Stimulation und Ableitung von Neuronen","Rheinisch-Westfälische Technische Hochschule Aachen"
16277707,"Mikroelektronische Bauelemente für extrazelluläre Stimulation und Ableitung von Neuronen","Forschungszentrum Jülich GmbH"
16317581,"Calibration and application of the new delta26Mg weathering proxy in speleothem research","Ruhr-Universität Bochum"
16359645,"Multiparametrische Analyse der Korrelation perzeptiver und kognitiver neuronaler Signale durch Integration von Magnetoenzephalographie und 3T-funktioneller Kernspintomographie","Westfälische Wilhelms-Universität Münster"
16359645,"Multiparametrische Analyse der Korrelation perzeptiver und kognitiver neuronaler Signale durch Integration von Magnetoenzephalographie und 3T-funktioneller Kernspintomographie","Universitätsklinikum Münster"
16399777,"Biomarker der Immunität bei Krebspatienten und älteren Menschen (B04)","Eberhard-Karls-Universität Tübingen"
16399910,"Pathophysiologie zerebellärer Bewegungsstörungen: Motorische Kontrolle des Greifens und Manipulierens","Universitätsklinikum Essen"
16399910,"Pathophysiologie zerebellärer Bewegungsstörungen: Motorische Kontrolle des Greifens und Manipulierens","Technische Universität München"
16399910,"Pathophysiologie zerebellärer Bewegungsstörungen: Motorische Kontrolle des Greifens und Manipulierens","Klinik Kipfenberg GmbH"
16420554,"Hybridstrukturen aus Phosphoolivinen des Typs LiMPO4 mit C-Nanofilamenten für Li-Ionen-Batterien: Präparation, Eigenschaften und Anwendungspotentiale","Karlsruher Institut für Technologie (KIT)"
16420554,"Hybridstrukturen aus Phosphoolivinen des Typs LiMPO4 mit C-Nanofilamenten für Li-Ionen-Batterien: Präparation, Eigenschaften und Anwendungspotentiale","Technische Universität Darmstadt"
16442274,"Molekulares Design von Nanohybridmembranen für Brennstoffzell-Anwendungen","Ruhr-Universität Bochum"
16442274,"Molekulares Design von Nanohybridmembranen für Brennstoffzell-Anwendungen","Universität Bremen"
16442274,"Molekulares Design von Nanohybridmembranen für Brennstoffzell-Anwendungen","Gottfried Wilhelm Leibniz Universität Hannover"
16461120,"Quasikristalline Kolloidadsorbate","Universität Stuttgart"
16461120,"Quasikristalline Kolloidadsorbate","Technische Universität Berlin"
16522328,"Prediktive Mechanismen bei aktiver Stream Segregation und verwandten Aufgaben (A04)","Leibniz-Institut für Neurobiologie"
16522328,"Prediktive Mechanismen bei aktiver Stream Segregation und verwandten Aufgaben (A04)","Leibniz-Institut für Neurobiologie (IfN)"
16522793,"Modellierung der Signalverarbeitung bei der auditorischen Szenenanalyse von Normal- und Schwerhörigen (B01)","Carl von Ossietzky Universität Oldenburg"
16523130,"Magnetische Spektroskopie einzelner Atome, Ketten und Nanostrukturen (A01)","Universität Hamburg"
16523130,"Magnetische Spektroskopie einzelner Atome, Ketten und Nanostrukturen (A01)","Julius-Maximilians-Universität Würzburg"
16628326,"Gehirn-Korrelate der phonetischen Fremdsprachen-Begabung","Universität Stuttgart"
16628326,"Gehirn-Korrelate der phonetischen Fremdsprachen-Begabung","Eberhard-Karls-Universität Tübingen"
16628326,"Gehirn-Korrelate der phonetischen Fremdsprachen-Begabung","RWTH Aachen"
16668112,"(Super)harte Nanokomposite","Technische Universität Bergakademie Freiberg"
16728219,"Entwicklung. Implementierung und Anwendung mathematisch-algebraischer Algorithmen bei der formalen Verifikation digitaler Systeme mit Arithmetikblöcken","Technische Universität Kaiserslautern"
16748334,"Molekulare Mechanismen der Interaktion des Tumorsuppressors Merlin mit Rho-GTPasen / Aufklärung von Neurofibromatose (NF-)relevanten Signaltransduktionswegen und Biomarkern mit Protein Mikroarrays","NMI Naturwissenschaftliches und Medizinisches Institut"
16748334,"Molekulare Mechanismen der Interaktion des Tumorsuppressors Merlin mit Rho-GTPasen / Aufklärung von Neurofibromatose (NF-)relevanten Signaltransduktionswegen und Biomarkern mit Protein Mikroarrays","Universität Ulm"
